Country or Area,Year,Value,Value Footnotes,Unit
Albania,2014,0,,tonnes
Andorra,2021,0,,tonnes
Andorra,2020,0,,tonnes
Andorra,2019,0,,tonnes
Andorra,2018,0,,tonnes
Andorra,2017,0,,tonnes
Andorra,2016,0,,tonnes
Andorra,2015,0,,tonnes
Andorra,2014,0,,tonnes
Andorra,2013,0,,tonnes
Antigua and Barbuda,2021,13.6,,tonnes
Antigua and Barbuda,2020,23.3,,tonnes
Antigua and Barbuda,2019,26.4,,tonnes
Antigua and Barbuda,2018,9.6,,tonnes
Antigua and Barbuda,2017,12,,tonnes
Antigua and Barbuda,2016,8,,tonnes
Antigua and Barbuda,2015,16.6,,tonnes
Antigua and Barbuda,2014,13.6,,tonnes
Antigua and Barbuda,2013,7.2,,tonnes
Antigua and Barbuda,2012,7.9,,tonnes
Antigua and Barbuda,2011,157.2,,tonnes
Antigua and Barbuda,2010,23.1,,tonnes
Antigua and Barbuda,2009,53,,tonnes
Antigua and Barbuda,2008,100.9,,tonnes
Antigua and Barbuda,2007,51.8,,tonnes
Antigua and Barbuda,2006,86.3,,tonnes
Antigua and Barbuda,2005,60.2,,tonnes
Armenia,2021,660114.2,,tonnes
Armenia,2020,21560567,,tonnes
Armenia,2019,486595.8,,tonnes
Armenia,2018,480170.4,,tonnes
Armenia,2017,511714.3,,tonnes
Armenia,2016,601917.4,,tonnes
Armenia,2015,551020.1,,tonnes
Armenia,2014,571750.4,,tonnes
Armenia,2013,574973.8,,tonnes
Armenia,2012,460844.7,,tonnes
Armenia,2011,457729.8,,tonnes
Armenia,2010,432811.8,,tonnes
Armenia,2009,438227.6,,tonnes
Armenia,2008,433537.5,,tonnes
Armenia,2007,362275,,tonnes
Armenia,2006,352279,,tonnes
Armenia,2005,346325,,tonnes
Armenia,2004,351400,,tonnes
Armenia,2003,344095,,tonnes
Armenia,2002,377900,,tonnes
Armenia,2001,375500,,tonnes
Armenia,2000,381578,,tonnes
Armenia,1999,241596,,tonnes
Armenia,1998,286607,,tonnes
Austria,2016,66429,,tonnes
Austria,2014,60260,,tonnes
Austria,2012,59046,,tonnes
Austria,2010,47959,,tonnes
Austria,2008,45033,,tonnes
Austria,2006,0,,tonnes
Austria,2004,43465,,tonnes
Azerbaijan,2021,190761,,tonnes
Azerbaijan,2020,219002,,tonnes
Azerbaijan,2019,174795,,tonnes
Azerbaijan,2018,213653,,tonnes
Azerbaijan,2017,175613,,tonnes
Azerbaijan,2016,634000,,tonnes
Azerbaijan,2015,166965.1,,tonnes
Azerbaijan,2014,414633.6,,tonnes
Azerbaijan,2013,65401.1,,tonnes
Azerbaijan,2012,84996.2,,tonnes
Azerbaijan,2011,97530.3,,tonnes
Azerbaijan,2010,87314.6,,tonnes
Azerbaijan,2009,144517.8,,tonnes
Azerbaijan,2008,55840,,tonnes
Azerbaijan,2007,1510,,tonnes
Azerbaijan,2006,1406220,,tonnes
Azerbaijan,2005,622,,tonnes
Azerbaijan,2004,100360,,tonnes
Azerbaijan,2003,386,,tonnes
Azerbaijan,2002,1607,,tonnes
Azerbaijan,2001,4532,,tonnes
Azerbaijan,2000,15348,,tonnes
Azerbaijan,1995,7606,,tonnes
Bahrain,2019,23315.8,,tonnes
Bahrain,2018,27924.5,,tonnes
Bahrain,2017,5105,,tonnes
Bahrain,2016,7365.2,,tonnes
Bahrain,2015,7213.9,,tonnes
Bahrain,2014,53444.9,,tonnes
Bahrain,2013,37736.4,,tonnes
Bahrain,2012,35515.8,,tonnes
Bahrain,2011,29642.7,,tonnes
Bahrain,2010,29318,,tonnes
Bahrain,2007,7432,,tonnes
Bahrain,2006,11164,,tonnes
Bahrain,2005,10626,,tonnes
Bahrain,2004,5430,,tonnes
Bahrain,2003,5661,,tonnes
Bahrain,2002,4466,,tonnes
Bahrain,2001,31942,1,tonnes
Bangladesh,2012,27498.7,,tonnes
Bangladesh,2007,18924,,tonnes
Bangladesh,2005,72124,2,tonnes
Bangladesh,2004,70335,2,tonnes
Belarus,2021,160872,,tonnes
Belarus,2020,134146,,tonnes
Belarus,2019,177170,,tonnes
Belarus,2018,123918,,tonnes
Belarus,2017,110730,,tonnes
Belarus,2016,115960,,tonnes
Belarus,2015,99280,,tonnes
Belarus,2014,153560,,tonnes
Belarus,2013,124720,,tonnes
Belarus,2012,123680,,tonnes
Belarus,2011,83700,,tonnes
Belarus,2010,136600,,tonnes
Belarus,2009,100000,,tonnes
Belarus,2008,61200,,tonnes
Belarus,2007,34300,,tonnes
Belarus,2006,16800,,tonnes
Belarus,2005,19200,,tonnes
Belgium,2016,1219738,,tonnes
Belgium,2014,960148,,tonnes
Belgium,2012,739347,,tonnes
Belgium,2010,981568,,tonnes
Belgium,2008,443605,,tonnes
Belgium,2006,283073,,tonnes
Belgium,2004,1306543,3,tonnes
Benin,2002,0,,tonnes
Benin,2001,0,,tonnes
Benin,2000,0,,tonnes
Benin,1999,0,,tonnes
Benin,1998,0,,tonnes
Benin,1997,0,,tonnes
Benin,1996,0,,tonnes
Benin,1995,0,,tonnes
Benin,1990,0,,tonnes
Bermuda,2019,1056,,tonnes
Bermuda,2018,729,,tonnes
Bermuda,2017,215,,tonnes
Bermuda,2016,190,,tonnes
Bermuda,2015,261.5,,tonnes
Bermuda,2014,234,,tonnes
Bermuda,2013,179,,tonnes
Bermuda,2012,209,,tonnes
Bermuda,2011,242,,tonnes
Bermuda,2010,215,,tonnes
Bhutan,2017,0,,tonnes
Bulgaria,2016,38190,,tonnes
Bulgaria,2014,11853969,,tonnes
Bulgaria,2012,13157860,,tonnes
Bulgaria,2010,13501203,,tonnes
Bulgaria,2008,12846297,,tonnes
Bulgaria,2006,13302797,3,tonnes
Bulgaria,2004,11981941,3,tonnes
Cameroon,2009,7133,,tonnes
Cameroon,2008,8663,,tonnes
Cameroon,2007,7492,,tonnes
Cameroon,2006,9675,,tonnes
Cameroon,2005,9046,,tonnes
Cameroon,2004,5307,,tonnes
"China, Hong Kong Special Administrative Region",2015,3094,,tonnes
"China, Hong Kong Special Administrative Region",2014,4521,,tonnes
"China, Hong Kong Special Administrative Region",2013,4118,,tonnes
"China, Hong Kong Special Administrative Region",2012,4170,,tonnes
"China, Hong Kong Special Administrative Region",2011,5805,,tonnes
"China, Hong Kong Special Administrative Region",2010,8150,,tonnes
"China, Hong Kong Special Administrative Region",2009,7361,,tonnes
"China, Hong Kong Special Administrative Region",2008,6789,,tonnes
"China, Hong Kong Special Administrative Region",2007,5840,,tonnes
"China, Hong Kong Special Administrative Region",2006,6935,,tonnes
"China, Hong Kong Special Administrative Region",2005,5475,,tonnes
